valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-10,48.0,1.5,271.28815,0,100852.664,9.536743e-07
2024-01-10,48.0,1.75,271.60504,0,100997.914,4.7683716e-07
2024-01-10,48.0,2.0,271.67633,0,100903.914,4.7683716e-07
2024-01-10,48.0,2.25,271.67828,0,100992.164,4.7683716e-07
2024-01-10,48.0,2.5,271.71393,0,101053.914,4.7683716e-07
2024-01-11,49.5,1.5,271.65033,0,101265.18,4.7683716e-07
2024-01-11,49.5,1.75,271.52924,0,101144.68,1.0728836e-06
2024-01-11,49.5,2.0,271.44037,0,101348.43,1.0728836e-06
2024-01-11,49.5,2.25,271.39984,0,101683.68,8.34465e-07
2024-01-11,49.5,2.5,271.3896,0,101911.68,2.3841858e-07
2024-01-11,49.25,1.5,271.98676,0,101813.43,1.66893e-06
2024-01-11,49.25,1.75,271.86517,0,101696.93,2.3841858e-06
2024-01-11,49.25,2.0,271.872,0,101708.68,9.536743e-07
2024-01-11,49.25,2.25,271.89203,0,101813.18,7.1525574e-07
2024-01-11,49.25,2.5,271.87494,0,101954.68,1.1920929e-07
2024-01-11,49.0,1.5,271.74457,0,101724.93,1.1920929e-07
2024-01-11,49.0,1.75,271.94916,0,101764.68,1.1920929e-07
2024-01-11,49.0,2.0,272.10297,0,101844.68,0.0
2024-01-11,49.0,2.25,272.1889,0,101980.93,0.0
2024-01-11,49.0,2.5,272.13617,0,102072.18,0.0
2024-01-11,48.75,1.5,271.3554,0,101274.68,0.0
2024-01-11,48.75,1.75,271.60492,0,101356.68,0.0
2024-01-11,48.75,2.0,271.81537,0,101437.18,1.1920929e-07
2024-01-11,48.75,2.25,272.14252,0,101716.68,0.0
2024-01-11,48.75,2.5,272.4013,0,101845.93,0.0
2024-01-11,48.5,1.5,271.08392,0,100936.93,1.1920929e-07
2024-01-11,48.5,1.75,271.4262,0,101118.18,1.1920929e-07
2024-01-11,48.5,2.0,271.82953,0,101333.43,0.0
2024-01-11,48.5,2.25,272.2021,0,101595.68,0.0
2024-01-11,48.5,2.5,272.48285,0,101757.68,0.0
2024-01-11,48.25,1.5,271.67084,0,101098.43,0.0
2024-01-11,48.25,1.75,271.88617,0,101256.43,0.0
2024-01-11,48.25,2.0,272.1806,0,101370.18,0.0
2024-01-11,48.25,2.25,272.36713,0,101493.93,0.0
2024-01-11,48.25,2.5,272.45013,0,101545.68,0.0
2024-01-11,48.0,1.5,272.393,0,101295.68,0.0
2024-01-11,48.0,1.75,272.5761,0,101433.43,0.0
2024-01-11,48.0,2.0,272.5468,0,101333.68,0.0
2024-01-11,48.0,2.25,272.47894,0,101415.43,0.0
2024-01-11,48.0,2.5,272.54144,0,101469.43,0.0
2024-01-12,49.5,1.5,275.6643,0,101476.766,1.3232231e-05
2024-01-12,49.5,1.75,275.36987,0,101358.266,1.4543533e-05
2024-01-12,49.5,2.0,275.1809,0,101560.016,1.2040138e-05
2024-01-12,49.5,2.25,274.99097,0,101893.766,8.702278e-06
2024-01-12,49.5,2.5,274.7229,0,102122.516,5.9604645e-06
2024-01-12,49.25,1.5,275.6482,0,102047.516,7.5101852e-06
2024-01-12,49.25,1.75,275.3567,0,101933.016,8.702278e-06
2024-01-12,49.25,2.0,275.13843,0,101944.766,5.841255e-06
2024-01-12,49.25,2.25,274.85376,0,102050.516,4.529953e-06
2024-01-12,49.25,2.5,274.53882,0,102193.516,2.861023e-06
2024-01-12,49.0,1.5,275.12817,0,101982.266,7.033348e-06
2024-01-12,49.0,1.75,275.02173,0,102024.266,6.914139e-06
